PERMNO,date,TICKER,RET
13407,26/11/2019,FB,-0.004104
13407,27/11/2019,FB,0.015228
13407,29/11/2019,FB,-0.001782
13407,02/12/2019,FB,-0.009621
13407,03/12/2019,FB,-0.004407
13407,04/12/2019,FB,-0.000553
13407,05/12/2019,FB,0.003271
13407,06/12/2019,FB,0.008477
13407,09/12/2019,FB,0.001442
13407,10/12/2019,FB,-0.002334
13407,11/12/2019,FB,0.006920
13407,12/12/2019,FB,-0.027242
13407,13/12/2019,FB,-0.013418
13407,16/12/2019,FB,0.019628
13407,17/12/2019,FB,0.002375
13407,18/12/2019,FB,0.020717
13407,19/12/2019,FB,0.017580
13407,20/12/2019,FB,0.001165
13407,23/12/2019,FB,-0.000582
13407,24/12/2019,FB,-0.005141
13407,26/12/2019,FB,0.013017
13407,27/12/2019,FB,0.001492
13407,30/12/2019,FB,-0.017732
13407,31/12/2019,FB,0.004109
13407,02/01/2020,FB,0.022071
13407,03/01/2020,FB,-0.005291
13407,06/01/2020,FB,0.018834
13407,07/01/2020,FB,0.002164
13407,08/01/2020,FB,0.010138
13407,09/01/2020,FB,0.014311
13407,10/01/2020,FB,-0.001099
13407,13/01/2020,FB,0.017656
13407,14/01/2020,FB,-0.012843
13407,15/01/2020,FB,0.009541
13407,16/01/2020,FB,0.002804
13407,17/01/2020,FB,0.001668
13407,21/01/2020,FB,-0.003151
13407,22/01/2020,FB,-0.000542
13407,23/01/2020,FB,-0.007049
13407,24/01/2020,FB,-0.008282
13407,27/01/2020,FB,-0.014086
13407,28/01/2020,FB,0.013590
13407,29/01/2020,FB,0.024978
13407,30/01/2020,FB,-0.061372
13407,31/01/2020,FB,-0.036367
13407,03/02/2020,FB,0.011292
13407,04/02/2020,FB,0.027621
13407,05/02/2020,FB,0.001334
13407,06/02/2020,FB,0.003522
13407,07/02/2020,FB,0.007019
13407,10/02/2020,FB,0.003438
13407,11/02/2020,FB,-0.027551
13407,12/02/2020,FB,0.017231
13407,13/02/2020,FB,0.011292
13407,14/02/2020,FB,0.004879
13407,18/02/2020,FB,0.016902
13407,19/02/2020,FB,-0.001423
13407,20/02/2020,FB,-0.013380
13407,21/02/2020,FB,-0.020505
13407,24/02/2020,FB,-0.045009
13407,25/02/2020,FB,-0.019679
13407,26/02/2020,FB,0.002185
13407,27/02/2020,FB,-0.037779
13407,28/02/2020,FB,0.014335
13407,02/03/2020,FB,0.020627
13407,03/03/2020,FB,-0.053706
13407,04/03/2020,FB,0.031578
13407,05/03/2020,FB,-0.034366
13407,06/03/2020,FB,-0.022034
13407,09/03/2020,FB,-0.064001
13407,10/03/2020,FB,0.051268
13407,11/03/2020,FB,-0.044615
13407,12/03/2020,FB,-0.092634
13407,13/03/2020,FB,0.102350
13407,16/03/2020,FB,-0.142530
13407,17/03/2020,FB,0.023355
13407,18/03/2020,FB,-0.016464
13407,19/03/2020,FB,0.041984
13407,20/03/2020,FB,-0.022203
13407,23/03/2020,FB,-0.010886
13407,24/03/2020,FB,0.086968
13407,25/03/2020,FB,-0.029631
